Player,Team,Pos,Att,Att/G,Yds,Avg,Yds/G,TD,Lng,1st,1st%,20+,40+,FUM
Jimmy Graham,SEA,TE,1,0.1,0,0,0,0,0,0,0,0,0,0
Drew Kaser,SD,P,1,0.1,0,0,0,0,0,0,0,0,0,1
Braxton Miller,HOU,WR,3,0.3,0,0,0,0,1,0,0,0,0,0
Andrew Hawkins,CLE,WR,2,0.1,0,0,0,0,1,0,0,0,0,0
Lorenzo Taliaferro,BAL,RB,1,0.3,0,0,0,0,0,0,0,0,0,0
Drew Butler,ARI,P,1,0.1,0,0,0,0,0,0,0,0,0,1
Amari Cooper,OAK,WR,1,0.1,0,0,0,0,0,0,0,0,0,0
Lac Edwards,NYJ,P,1,0.1,0,0,0,0,0,0,0,0,0,1
Matt Darr,MIA,P,1,0.1,0,0,0,0,0,0,0,0,0,2
Joe Kerridge,GB,RB,1,0.1,0,0,0,0,0,0,0,0,0,0
Jordan Norwood,DEN,WR,1,0.1,0,0,0,0,0,0,0,0,0,0
Pat McAfee,IND,P,1,0.1,0,0,0,0,0,0,0,0,0,0
David Fales,CHI,QB,1,1,0,0,0,0,0,0,0,0,0,1
Cardale Jones,BUF,QB,1,1,-1,-1,-1,0,-1,0,0,0,0,0
Matt Moore,MIA,QB,1,0.2,-1,-1,-0.2,0,-1,0,0,0,0,0
Kellen Clemens,SD,QB,2,0.2,-1,-0.5,-0.1,0,0,0,0,0,0,0
Jeremy Maclin,KC,WR,1,0.1,-1,-1,-0.1,0,-1,0,0,0,0,0
Sean Mannion,LA,QB,1,1,-1,-1,-1,0,-1,0,0,0,0,1
Donte Moncrief,IND,WR,1,0.1,-1,-1,-0.1,0,-1,0,0,0,0,0
Brett Hundley,GB,QB,3,0.8,-2,-0.7,-0.5,0,0,0,0,0,0,1
Brandon LaFell,CIN,WR,1,0.1,-2,-2,-0.1,0,-2,0,0,0,0,0
Valentino Blake,TEN,DB,1,0.1,-2,-2,-0.1,0,-2,0,0,0,0,0
Matt Schaub,ATL,QB,2,0.5,-2,-1,-0.5,0,-1,0,0,0,0,0
Chad Henne,JAX,QB,1,1,-2,-2,-2,0,-2,0,0,0,0,0
Mark Sanchez,DAL,QB,4,2,-2,-0.5,-1,0,1,0,0,0,0,0
Brian Hoyer,CHI,QB,7,1.2,-2,-0.3,-0.3,0,3,0,0,0,0,2
Jamison Crowder,WAS,WR,2,0.1,-2,-1,-0.1,0,7,1,50,0,0,0
Reggie Bush,BUF,RB,12,0.9,-3,-0.3,-0.2,1,5,2,16.7,0,0,1
Jordan Berry,PIT,P,1,0.1,-3,-3,-0.2,0,-3,0,0,0,0,1
Matt McGloin,OAK,QB,3,1,-3,-1,-1,0,-1,0,0,0,0,0
Travis Benjamin,SD,WR,2,0.1,-3,-1.5,-0.2,0,-1,0,0,0,0,0
Drew Stanton,ARI,QB,3,0.6,-3,-1,-0.6,0,-1,0,0,0,0,0
Will Fuller,HOU,WR,1,0.1,-3,-3,-0.2,0,-3,0,0,0,0,0
Nick Foles,KC,QB,4,1.3,-4,-1,-1.3,0,-1,0,0,0,0,0
Landry Jones,PIT,QB,6,0.8,-4,-0.7,-0.5,0,0,0,0,0,0,0
Brandon Burks,NYJ,RB,2,2,-4,-2,-4,0,1,0,0,0,0,0
Travis Kelce,KC,TE,1,0.1,-5,-5,-0.3,0,-5,0,0,0,0,0
James Wright,CIN,WR,2,0.2,-6,-3,-0.5,0,2,1,50,0,0,0
Ryan Mallett,BAL,QB,5,1.2,-6,-1.2,-1.5,0,-1,0,0,0,0,0
Taiwan Jones,OAK,RB,1,0.1,-8,-8,-0.6,0,-8,0,0,0,0,0
Eli Manning,NYG,QB,21,1.3,-9,-0.4,-0.6,0,6,2,9.5,0,0,0
DeMarcus Ayers,PIT,WR,2,1,-12,-6,-6,0,0,0,0,0,0,0
Sam Koch,BAL,P,2,0.1,-23,-11.5,-1.4,0,0,0,0,0,0,0
